"brewery_id"	"brewery_name"	"city"	"state"	"lon"	"lat"	"address"
446	"Downeast Cider House"	"Leominster"	" MA"	-71.0324945	42.3642794	"256 marginal st #32, east boston, ma 02128, usa"
447	"Swamp Head Brewery"	"Gainesville"	" FL"	-82.3767938	29.6146794	"3650 sw 42 ave, gainesville, fl 32608, usa"
448	"Mavericks Beer Company"	"Half Moon Bay"	" CA"	-122.4855352	37.5040965	"390 capistrano rd, half moon bay, ca 94019, usa"
449	"TailGate Beer"	"San Diego"	" CA"	-86.9198973	36.1199298	"7300 charlotte pike, nashville, tn 37209, usa"
450	"Northwest Brewing Company"	"Pacific"	" WA"	-122.246865	47.2506709	"1091 valentine ave se, pacific, wa 98047, usa"
451	"Dad & Dude's Breweria"	"Aurora"	" CO"	-104.8319195	39.7294319	NA
452	"Centennial Beer Company"	"Edwards"	" CO"	-104.9399037	39.5669101	"4151 e county line rd g, centennial, co 80122, usa"
453	"Denali Brewing Company"	"Talkeetna"	" AK"	-150.0292261	62.1613869	"37083 talkeetna spur rd, talkeetna, ak 99676, usa"
454	"Deschutes Brewery"	"Bend"	" OR"	-121.3113374	44.0594259	"1044 nw bond st, bend, or 97703, usa"
455	"Sunken City Brewing Company"	"Hardy"	" VA"	-79.8114761	37.2317643	NA
456	"Lucette Brewing Company"	"Menominie"	" WI"	-91.940068	44.8752918	"910 hudson rd, menomonie, wi 54751, usa"
457	"The Black Tooth Brewing Company"	"Sheridan"	" WY"	-106.9537799	44.8009273	"312 broadway st, sheridan, wy 82801, usa"
458	"Kenai River Brewing Company"	"Soldotna"	" AK"	-151.057217	60.4853779	"308 homestead lane, soldotna, ak 99669, usa"
459	"River North Brewery"	"Denver"	" CO"	-104.979081	39.8065653	"6021 washington st a, denver, co 80216, usa"
460	"Fremont Brewing Company"	"Seattle"	" WA"	-122.344586	47.649044	"1050 n 34th st, seattle, wa 98103, usa"
461	"Armstrong Brewing Company"	"South San Francisco"	" CA"	-122.4130921	37.6556992	"415 grand ave, south san francisco, ca 94080, usa"
462	"AC Golden Brewing Company"	"Golden"	" CO"	-105.185966	39.77959	"16401 table mountain pkwy, golden, co 80403, usa"
463	"Big Bend Brewing Company"	"Alpine"	" TX"	-103.698	30.347935	"3401 west highway 90, alpine, tx 79830, united states"
464	"Good Life Brewing Company"	"Bend"	" OR"	-121.3301814	44.0510487	"70 sw century dr, bend, or 97702, usa"
465	"Engine 15 Brewing"	"Jacksonville Beach"	" FL"	-81.4086461	30.2875967	"1500 beach blvd #217, jacksonville beach, fl 32250, usa"
466	"Green Room Brewing"	"Jacksonville"	" FL"	-81.3925412	30.2907356	"228 3rd st n, jacksonville beach, fl 32250, usa"
467	"Brindle Dog Brewing Company"	"Tampa Bay"	" FL"	-82.5436722	27.763383	"tampa bay, florida, usa"
468	"Peace Tree Brewing Company"	"Knoxville"	" IA"	-93.0993404	41.3192118	"107 w main st, knoxville, ia 50138, usa"
469	"Terrapin Brewing Company"	"Athens"	" GA"	-83.3966856	33.980502	"265 newton bridge rd, athens, ga 30607, usa"
470	"Pete's Brewing Company"	"San Antonio"	" TX"	-98.4773455	29.576341	"14800 san pedro ave # 3, san antonio, tx 78232, usa"
471	"Okoboji Brewing Company"	"Spirit Lake"	" IA"	-95.1259813	43.4059749	"3705 us-71, spirit lake, ia 51360, usa"
472	"Crystal Springs Brewing Company"	"Boulder"	" CO"	-105.119991	39.960729	"657 s taylor ave unit e, louisville, co 80027, usa"
473	"Engine House 9"	"Tacoma"	" WA"	-122.473299	47.255961	"611 n pine st, tacoma, wa 98406, usa"
474	"Tonka Beer Company"	"Minnetonka"	" MN"	-93.46589	44.9038474	"14625 excelsior blvd, minnetonka, mn 55345, usa"
475	"Red Hare Brewing Company"	"Marietta"	" GA"	-84.495583	33.924453	"1998 delk industrial blvd se, marietta, ga 30067, usa"
476	"Hangar 24 Craft Brewery"	"Redlands"	" CA"	-117.1418331	34.0831511	"1710 sessums dr, redlands, ca 92374, usa"
477	"Big Elm Brewing"	"Sheffield"	" MA"	-73.350458	42.092969	"65 silver st, sheffield, ma 01257, usa"
478	"Good People Brewing Company"	"Birmingham"	" AL"	-86.8121879	33.5069731	"114 14th st s, birmingham, al 35233, usa"
479	"Heavy Seas Beer"	"Halethorpe"	" MD"	-76.6758397	39.2317521	"4615 hollins ferry rd, halethorpe, md 21227, usa"
480	"Telluride Brewing Company"	"Telluride"	" CO"	-107.8762977	37.946158	"156 society dr, telluride, co 81435, usa"
481	"7 Seas Brewing Company"	"Gig Harbor"	" WA"	-122.5798707	47.3272987	"3006 judson st #110, gig harbor, wa 98335, usa"
482	"Confluence Brewing Company"	"Des Moines"	" IA"	-93.632955	41.567953	"1235 thomas beck rd, des moines, ia 50315, usa"
483	"Bale Breaker Brewing Company"	"Yakima"	" WA"	-120.4354413	46.5771376	"1801 birchfield rd, yakima, wa 98901, usa"
484	"The Manhattan Brewing Company"	"New York"	" NY"	-73.9900458	40.7593023	"321 w 44th st, new york, ny 10036, usa"
485	"MacTarnahans Brewing Company"	"Portland"	" OR"	-122.7132916	45.5413513	"2730 nw 31st ave, portland, or 97210, usa"
