AID	TelemDate	TimeLag	AEA_X	AEA_Y
56B	2010-05-03 11:00:00.000	60	-1071055.04903445	2494064.42730635
56B	2010-05-03 12:00:00.000	60	-1071105.46343583	2493902.95070548
56B	2010-05-03 13:00:00.000	60	-1070891.28932032	2494086.9600022
56B	2010-05-03 14:00:00.000	60	-1070933.09367132	2494079.48240919
56B	2010-05-03 15:00:00.000	60	-1070995.57940129	2494061.48506969
56B	2010-05-03 16:00:00.000	60	-1070873.5109114	2494132.77089927
56B	2010-05-03 17:00:00.000	60	-1070588.33962204	2494920.75785142
56B	2010-05-03 18:00:00.000	60	-1070393.01714552	2494691.2752288
56B	2010-05-03 19:00:00.000	60	-1070413.40938547	2494904.56701431
56B	2010-05-03 20:00:00.000	60	-1069888.67405069	2494744.66383506
56B	2010-05-03 21:00:00.000	60	-1069928.14498492	2494808.83840986
56B	2010-05-03 22:00:00.000	60	-1069947.24739031	2494803.71348472
56B	2010-05-03 23:00:00.000	60	-1069631.84809228	2495497.367117
56B	2010-05-04 00:00:00.000	60	-1069823.43499022	2495469.81942028
56B	2010-05-04 01:00:00.000	60	-1069842.93565151	2495500.74771389
56B	2010-05-04 02:00:00.000	60	-1069840.6324689	2495477.91884253
56B	2010-05-04 03:00:00.000	60	-1069839.80687808	2495500.29740671
56B	2010-05-04 04:00:00.000	60	-1069836.23481988	2495486.28488388
56B	2010-05-04 05:00:00.000	60	-1069836.54119083	2495489.70358065
56B	2010-05-04 06:00:00.000	60	-1069678.7986494	2495576.11450691
56B	2010-05-04 07:00:00.000	60	-1069683.0267522	2495574.47321479
56B	2010-05-04 08:00:00.000	60	-1069669.89891907	2495565.83491201
56B	2010-05-04 09:00:00.000	60	-1069576.34538005	2495389.26792027
56B	2010-05-04 10:00:00.000	60	-1069472.30487335	2494791.61718414
56B	2010-05-04 11:00:00.000	60	-1069395.5698076	2494819.94901919
56B	2010-05-04 12:00:00.000	60	-1069502.22366763	2494944.40455919
56B	2010-05-04 13:00:00.000	60	-1069518.15427788	2494961.31979053
56B	2010-05-04 14:00:00.000	60	-1069519.43218621	2494863.63973838
56B	2010-05-04 15:00:00.000	60	-1069551.27185635	2494825.47527094
56B	2010-05-04 16:00:00.000	60	-1069384.82561771	2494705.91627137
56B	2010-05-04 17:00:00.000	60	-1069709.44890314	2494430.90270458
56B	2010-05-04 18:00:00.000	60	-1069647.34234401	2494751.55717853
56B	2010-05-04 19:00:00.000	60	-1069332.95316358	2494999.91971052
56B	2010-05-04 20:00:00.000	60	-1069059.07000928	2495100.01065795
56B	2010-05-04 21:00:00.000	60	-1068912.18163411	2495244.24146461
56B	2010-05-04 22:00:00.000	60	-1068922.50896967	2495244.60161918
56B	2010-05-04 23:00:00.000	60	-1068917.03342571	2495243.81427508
56B	2010-05-05 00:00:00.000	60	-1068908.56722263	2495252.72054621
56B	2010-05-05 01:00:00.000	60	-1068907.32984377	2495244.66866391
56B	2010-05-05 02:00:00.000	60	-1068959.47843551	2495309.53484733
56B	2010-05-05 03:00:00.000	60	-1068909.35956545	2495247.21023167
56B	2010-05-05 04:00:00.000	60	-1068979.52496805	2495386.65773154
56B	2010-05-05 05:00:00.000	60	-1068990.96150203	2495379.30356456
56B	2010-05-05 06:00:00.000	60	-1068983.9670205	2495266.93743602
56B	2010-05-05 07:00:00.000	60	-1068976.10412702	2495288.30376906
56B	2010-05-05 08:00:00.000	60	-1068991.65109319	2495257.91875892
56B	2010-05-05 09:00:00.000	60	-1068913.71569001	2495261.33482139
56B	2010-05-05 10:00:00.000	60	-1068932.46864383	2495275.27990844
56B	2010-05-05 11:00:00.000	60	-1068895.02332874	2495213.65297441
56B	2010-05-05 12:00:00.000	60	-1068782.27885415	2494903.85603115
56B	2010-05-05 13:00:00.000	60	-1068974.49326591	2494705.39599933
56B	2010-05-05 14:00:00.000	60	-1068954.91848498	2494624.96577209
56B	2010-05-05 15:00:00.000	60	-1068661.95981145	2494263.38760692
56B	2010-05-05 16:00:00.000	60	-1068498.15488684	2494414.19715907
56B	2010-05-05 17:00:00.000	60	-1068057.05949159	2493894.12588248
56B	2010-05-05 18:00:00.000	60	-1067217.28170714	2493864.65042675
56B	2010-05-05 19:00:00.000	60	-1067152.46422333	2494288.40671885
56B	2010-05-05 20:00:00.000	60	-1066530.18958195	2494635.53911773
