"Species","Capture History","Length","Weight","Wr","Mark","Tag","Sex","Mort?"
"SRC","M1","17.7","1.87","79","","","","N"
"SRC","M1","17.5","2.17","95","","","","N"
"SRC","M1","14.9","1.21","87","","","","N"
"SRC","M1","16.3","1.7","92","","","","N"
"SRC","M1","13.9","0.98","87","","","","N"
"SRC","M1","14.9","1.22","88","","","","N"
"SRC","M1","11.4","0.56","92","","","","N"
"SRC","M1","13.5","0.92","90","","","","N"
"SRC","M1","14","0.92","80","","","","N"
"SRC","M1","15.2","0.32","22","","","","N"
"SRC","M1","14.3","0.98","80","","","","N"
"SRC","M1","14","0.99","86","","","","N"
"SRC","M1","14.8","1.14","84","","","","N"
"SRC","M1","11.9","0.52","75","","","","N"
"SRC","M1","16.7","1.58","80","","","","N"
"SRC","M1","12","0.53","74","","","","N"
"SRC","M1","12.2","0.65","87","","","","N"
"SRC","M1","11.9","0.54","78","","","","N"
"SRC","M1","13.6","0.9","86","","","","N"
"SRC","M1","7.3","0.12","79","","","","N"
"SRC","M1","15.4","","","","","","N"
"SRC","M1","14.4","","","","","","N"
"SRC","M1","15.3","","","","","","N"
"SRC","M1","16.8","","","","","","N"
"SRC","M1","16.1","","","","","","N"
"SRC","M1","12.2","","","","","","N"
"SRC","M1","16.7","","","","","","N"
"SRC","M1","15.6","","","","","","N"
"SRC","M1","16.8","","","","","","N"
"SRC","M1","6.1","","","","","","N"
"SRC","M1","16.2","","","","","","N"
"SRC","M1","14.7","","","","","","N"
